id,merchant_name,transaction_date,transaction_currency_code,acquirer_reference_number,transaction_type,primary_account_number,settlement_date,cardholder_name,cardholder_age,cardholder_country,transaction_amount,merchant_category_code,card_acceptor_id,year_month,signed_amount,transaction_sign,tier,tier_coeff
1,"Allen, Price and Sparks",2024-11-20,840,7279559690515026,purchase,2277662702895177,2024-11-22,Thomas Smith,53,504,511.68,4787,bcvdvYUczh,2024-11,-511.68,credit,Titanium,1.0
2,"Contreras, Ellis and Gregory",2023-10-22,840,2542782079799667,purchase,2273714785969694,2023-10-24,Harold Ellis,26,504,3.56,8293,ecVjFPbENc,2023-10,-3.56,credit,Titanium,1.0
3,Simmons Ltd,2025-01-24,840,7640381664969028,purchase,2242020417929116,2025-01-25,Kurt Gilbert,34,Bahrain,95.48,6519,IiuYnWcLlv,2025-01,-95.48,credit,Platinum,0.75
4,Hill Group,2023-06-29,840,9225014257627023,payroll,2222182339845467,2023-07-01,Tyler Stevens,51,504,2721.0,8705,QIseyHdySe,2023-06,2721.0,debit,Platinum,0.75
5,Bishop Inc,2023-11-12,840,3361328507251786,purchase,2221710021946721,2023-11-12,Mark Mills,37,Isle of Man,678.44,9279,fOYtwAaJpm,2023-11,-678.44,credit,Gold,0.5
6,"Davila, Montgomery and Huffman",2023-08-10,840,7316252654696815,purchase,5133230982150643,2023-08-12,Lisa Wheeler,35,840,572.95,8837,XOQnrdmhYj,2023-08,-572.95,credit,Titanium,1.0
7,Jimenez-Moore,2024-10-24,840,3923555809961327,payroll,2433549465190980,2024-10-26,Cameron Phillips,58,978,3473.9,9142,nBqvNZWDcg,2024-10,3473.9,debit,Platinum,0.75
8,Buckley and Sons,2024-12-06,840,1562624467046226,payroll,2402135569092756,2024-12-07,Phillip Berry,64,840,2471.52,7803,hepUCLLuAm,2024-12,2471.52,debit,Titanium,1.0
9,"Villanueva, Hall and Rodriguez",2024-12-11,840,5160252986707660,top up,2700715451680872,2024-12-12,Cody Cox,66,978,446.69,3136,myoeELFdBj,2024-12,446.69,debit,Gold,0.5
10,"Gibson, Hughes and Taylor",2023-10-25,840,9785758512686120,purchase,2708728743152743,2023-10-27,Alexis Rogers,24,124,4.22,3543,vicSKdrihD,2023-10,-4.22,credit,Titanium,1.0
11,Jackson-Cooper,2024-05-01,840,3897607401775095,purchase,2224430107139664,2024-05-03,Gregory Shaffer,28,978,60.7,4929,kKJofAHFnL,2024-05,-60.7,credit,Titanium,1.0
12,Ramirez-Blair,2024-05-12,840,0842456075409150,payroll,2273714785969694,2024-05-14,Harold Ellis,26,504,9486.8,6636,veuvMFnSVE,2024-05,9486.8,debit,Titanium,1.0
13,"Johnson, Schmidt and Mendoza",2024-11-30,840,1812276457938970,purchase,5335680442067884,2024-11-30,Joel Lara,49,504,3.76,1773,fJWaSUAniw,2024-11,-3.76,credit,Titanium,1.0
14,Holland Inc,2023-12-26,840,9168154660241613,refund,2366188924141838,2023-12-26,Brittney Murphy,70,124,50.38,0742,TDKVLbDDXi,2023-12,-50.38,credit,Titanium,1.0
15,"Sullivan, Clarke and Wood",2025-03-20,840,0597364248096244,payroll,2279180339740144,2025-03-22,Kristy Johnson,66,124,9779.6,7462,sTmpKILVKI,2025-03,9779.6,debit,Titanium,1.0
16,"Norton, French and Miller",2024-07-05,840,2447951330531949,top up,2316928451154477,2024-07-05,Jessica Norris,66,840,743.81,5085,dhyxDNcxxl,2024-07,743.81,debit,Gold,0.5
17,Brown LLC,2023-12-12,840,8678055557277382,purchase,2701832538179338,2023-12-14,Steven Gordon,55,Jamaica,61.7,7788,hETIRIsCNx,2023-12,-61.7,credit,Gold,0.5
18,"Dougherty, Lamb and Everett",2025-01-21,840,9178513854457702,purchase,2227773454019386,2025-01-22,Sarah Johnson,25,504,434.7,1371,fzlsegkrhS,2025-01,-434.7,credit,Platinum,0.75
19,Hernandez-Harris,2023-09-02,840,9660487368269116,purchase,2290607159696647,2023-09-04,Alex Nguyen,38,840,819.32,0468,iEwACVPbsm,2023-09,-819.32,credit,Titanium,1.0
20,Wiggins and Sons,2023-06-28,840,2268653694551588,payroll,2313171274846770,2023-06-30,Juan Reyes,69,124,211.0,8569,vPPYuFLQSH,2023-06,211.0,debit,Gold,0.5
21,"Wallace, Torres and Anderson",2025-02-22,840,7472264085721696,purchase,2712299590010941,2025-02-23,Pamela Butler,25,124,812.03,4243,ExsXdjwsDk,2025-02,-812.03,credit,Platinum,0.75
22,"Johnson, Stewart and Cooper",2024-07-20,840,9329981996059329,purchase,2720284222231057,2024-07-22,Jessica Wood,44,Costa Rica,609.76,5782,IthbzFXjDu,2024-07,-609.76,credit,Silver,
23,Cordova PLC,2023-09-09,840,0968832753273524,purchase,5327975736609650,2023-09-09,Todd Armstrong,48,504,145.6,8547,sWKQjZKUCv,2023-09,-145.6,credit,Platinum,0.75
24,Dennis Inc,2024-10-27,840,7397327819523710,payroll,5332677360260643,2024-10-27,Rachel Mitchell,45,124,7616.8,4736,kRbqIYTqsp,2024-10,7616.8,debit,Titanium,1.0
25,Silva and Sons,2024-09-20,840,8761648198077046,purchase,2297722330604635,2024-09-22,Virginia Todd,70,840,1145.4,4301,ICRQfGzmFu,2024-09,-1145.4,credit,Titanium,1.0
26,Lewis Group,2024-07-19,840,8761124912565237,purchase,2720980562656502,2024-07-20,Gregory Madden,64,Tunisia,142.5,6742,ZUBUAiLMfj,2024-07,-142.5,credit,Silver,
27,Wells-Dillon,2023-10-19,840,7734547574949022,purchase,2234123281206791,2023-10-20,Andrew Roberts,42,504,23.49,5196,faAOrAlJDT,2023-10,-23.49,credit,Platinum,0.75
28,Gonzalez Group,2024-07-25,840,9544294774222946,purchase,2331165667010653,2024-07-25,Ashley Lee,67,504,25.37,4870,tLtFJVDobY,2024-07,-25.37,credit,Titanium,1.0
29,Baker Ltd,2023-05-12,840,9429045886792529,payroll,5178447364710275,2023-05-12,John Peterson,64,504,7892.1,7146,lFSPpbhWrF,2023-05,7892.1,debit,Titanium,1.0
30,"Taylor, Martin and Nelson",2024-05-03,840,7287276015343324,purchase,5395979647158903,2024-05-04,Carla Brown,38,Ghana,456.24,6504,sHOeGmXOlW,2024-05,-456.24,credit,Platinum,0.75
